technology,dst_region,region,agent,sector,type,year,capacity,,,,
gasboiler,R1,R1,A1,residential,retrofit,2020,5,,,,
gasboiler,R1,R1,A2,residential,retrofit,2020,5,,,,
gasCCGT,R1,R1,A1,power,retrofit,2020,0.5,,,,
gasCCGT,R1,R1,A2,power,retrofit,2020,0.5,,,,
gassupply1,R1,R1,A1,gas,retrofit,2020,7.5,,,,
gassupply1,R1,R1,A2,gas,retrofit,2020,7.5,,,,
gasboiler,R1,R1,A1,residential,retrofit,2025,8.5,agent,(Multiple Items),,
heatpump,R1,R1,A1,residential,retrofit,2025,3.5,sector,(Multiple Items),,
gasboiler,R1,R1,A2,residential,retrofit,2025,7,,,,
heatpump,R1,R1,A2,residential,retrofit,2025,4.75,Sum of capacity,Column Labels,,
gasCCGT,R1,R1,A1,power,retrofit,2025,1.1763,Row Labels,gasCCGT,Grand Total,
gasCCGT,R1,R1,A2,power,retrofit,2025,0.8382,2020,0.5,0.5,
windturbine,R1,R1,A2,power,retrofit,2025,0.7609,2025,1.1763,1.1763,
gassupply1,R1,R1,A1,gas,retrofit,2025,10.6932,2030,2.3094,2.3094,
gassupply1,R1,R1,A2,gas,retrofit,2025,10.6932,2035,2.4088,2.4088,
gasboiler,R1,R1,A1,residential,retrofit,2030,6,2040,2.5774,2.5774,
gasboiler,R1,R1,A1,residential,retrofit,2030,5.625,2045,2.5774,2.5774,
heatpump,R1,R1,A1,residential,retrofit,2030,3.5,2050,2.9106,2.9106,
gasboiler,R1,R1,A2,residential,retrofit,2030,4.5,Grand Total,14.4599,14.4599,
gasboiler,R1,R1,A2,residential,retrofit,2030,2.8125,,,,
heatpump,R1,R1,A2,residential,retrofit,2030,4.75,,,,
heatpump,R1,R1,A2,residential,retrofit,2030,1.7875,,,,
gasCCGT,R1,R1,A1,power,retrofit,2030,0.6763,,,,
gasCCGT,R1,R1,A1,power,retrofit,2030,1.6331,,,,
gasCCGT,R1,R1,A2,power,retrofit,2030,0.3382,,,,
gasCCGT,R1,R1,A2,power,retrofit,2030,0.8166,agent,A2,,
windturbine,R1,R1,A2,power,retrofit,2030,0.7609,sector,power,,
windturbine,R1,R1,A2,power,retrofit,2030,1.8373,,,,
gassupply1,R1,R1,A1,gas,retrofit,2030,6.9432,Sum of capacity,Column Labels,,
gassupply1,R1,R1,A1,gas,retrofit,2030,8.5853,Row Labels,gasCCGT,windturbine,Grand Total
gassupply1,R1,R1,A2,gas,retrofit,2030,6.9432,2020,0.5,,0.5
gassupply1,R1,R1,A2,gas,retrofit,2030,8.5853,2025,0.8382,0.7609,1.5991
gasboiler,R1,R1,A1,residential,retrofit,2035,5.625,2030,1.1548,2.5982,3.753
gasboiler,R1,R1,A1,residential,retrofit,2035,6.5812,2035,1.2542,2.8219,4.0761
heatpump,R1,R1,A1,residential,retrofit,2035,2.75,2040,1.398,3.1454,4.5434
gasboiler,R1,R1,A2,residential,retrofit,2035,2.8125,2045,1.398,3.1454,4.5434
gasboiler,R1,R1,A2,residential,retrofit,2035,4.1156,2050,1.9423,3.6091,5.5514
heatpump,R1,R1,A2,residential,retrofit,2035,1.7875,Grand Total,8.4855,16.0809,24.5664
heatpump,R1,R1,A2,residential,retrofit,2035,4.2019,,,,
gasCCGT,R1,R1,A1,power,retrofit,2035,0.6763,,,,
gasCCGT,R1,R1,A1,power,retrofit,2035,1.6331,,,,
gasCCGT,R1,R1,A1,power,retrofit,2035,0.0994,,,,
gasCCGT,R1,R1,A2,power,retrofit,2035,0.3382,,,,
gasCCGT,R1,R1,A2,power,retrofit,2035,0.8166,,,,
gasCCGT,R1,R1,A2,power,retrofit,2035,0.0994,,,,
windturbine,R1,R1,A2,power,retrofit,2035,0.7609,,,,
windturbine,R1,R1,A2,power,retrofit,2035,1.8373,,,,
windturbine,R1,R1,A2,power,retrofit,2035,0.2237,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,3.1932,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,8.5853,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,7.268,,,,
gassupply1,R1,R1,A2,gas,retrofit,2035,3.1932,,,,
gassupply1,R1,R1,A2,gas,retrofit,2035,8.5853,,,,
gassupply1,R1,R1,A2,gas,retrofit,2035,7.268,,,,
gasboiler,R1,R1,A1,residential,retrofit,2040,6.5812,,,,
gasboiler,R1,R1,A1,residential,retrofit,2040,9.8456,,,,
heatpump,R1,R1,A1,residential,retrofit,2040,2.75,,,,
heatpump,R1,R1,A1,residential,retrofit,2040,0.275,,,,
gasboiler,R1,R1,A2,residential,retrofit,2040,4.1156,,,,
gasboiler,R1,R1,A2,residential,retrofit,2040,3.2527,,,,
heatpump,R1,R1,A2,residential,retrofit,2040,4.2019,,,,
heatpump,R1,R1,A2,residential,retrofit,2040,2.6932,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,0.6763,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,1.6331,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,0.0994,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,0.1686,,,,
gasCCGT,R1,R1,A2,power,retrofit,2040,0.3382,,,,
gasCCGT,R1,R1,A2,power,retrofit,2040,0.8166,,,,
gasCCGT,R1,R1,A2,power,retrofit,2040,0.0994,,,,
gasCCGT,R1,R1,A2,power,retrofit,2040,0.1438,,,,
windturbine,R1,R1,A2,power,retrofit,2040,0.7609,,,,
windturbine,R1,R1,A2,power,retrofit,2040,1.8373,,,,
windturbine,R1,R1,A2,power,retrofit,2040,0.2237,,,,
windturbine,R1,R1,A2,power,retrofit,2040,0.3235,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,3.1932,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,8.5853,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,7.268,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,1.7247,,,,
gassupply1,R1,R1,A2,gas,retrofit,2040,3.1932,,,,
gassupply1,R1,R1,A2,gas,retrofit,2040,8.5853,,,,
gassupply1,R1,R1,A2,gas,retrofit,2040,7.268,,,,
gassupply1,R1,R1,A2,gas,retrofit,2040,1.7247,,,,
gasboiler,R1,R1,A1,residential,retrofit,2045,9.8456,,,,
gasboiler,R1,R1,A1,residential,retrofit,2045,9.1749,,,,
heatpump,R1,R1,A1,residential,retrofit,2045,0.275,,,,
heatpump,R1,R1,A1,residential,retrofit,2045,1.5263,,,,
gasboiler,R1,R1,A2,residential,retrofit,2045,3.2527,,,,
gasboiler,R1,R1,A2,residential,retrofit,2045,3.9262,,,,
heatpump,R1,R1,A2,residential,retrofit,2045,2.6932,,,,
heatpump,R1,R1,A2,residential,retrofit,2045,3.9457,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,0.6763,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,1.6331,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,0.0994,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,0.1686,,,,
gasCCGT,R1,R1,A2,power,retrofit,2045,0.3382,,,,
gasCCGT,R1,R1,A2,power,retrofit,2045,0.8166,,,,
gasCCGT,R1,R1,A2,power,retrofit,2045,0.0994,,,,
gasCCGT,R1,R1,A2,power,retrofit,2045,0.1438,,,,
windturbine,R1,R1,A2,power,retrofit,2045,0.7609,,,,
windturbine,R1,R1,A2,power,retrofit,2045,1.8373,,,,
windturbine,R1,R1,A2,power,retrofit,2045,0.2237,,,,
windturbine,R1,R1,A2,power,retrofit,2045,0.3235,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,3.1932,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,8.5853,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,7.268,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,1.7247,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,3.7805,,,,
gassupply1,R1,R1,A2,gas,retrofit,2045,3.1932,,,,
gassupply1,R1,R1,A2,gas,retrofit,2045,8.5853,,,,
gassupply1,R1,R1,A2,gas,retrofit,2045,7.268,,,,
gassupply1,R1,R1,A2,gas,retrofit,2045,1.7247,,,,
gassupply1,R1,R1,A2,gas,retrofit,2045,3.7805,,,,
gasboiler,R1,R1,A1,residential,retrofit,2050,9.1749,,,,
gasboiler,R1,R1,A1,residential,retrofit,2050,8.8738,,,,
heatpump,R1,R1,A1,residential,retrofit,2050,1.5263,,,,
heatpump,R1,R1,A1,residential,retrofit,2050,0.2276,,,,
gasboiler,R1,R1,A2,residential,retrofit,2050,3.9262,,,,
gasboiler,R1,R1,A2,residential,retrofit,2050,3.4853,,,,
heatpump,R1,R1,A2,residential,retrofit,2050,3.9457,,,,
heatpump,R1,R1,A2,residential,retrofit,2050,3.1786,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,0.6763,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,1.6331,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,0.0994,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,0.1686,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,0.3332,,,,
gasCCGT,R1,R1,A2,power,retrofit,2050,0.3382,,,,
gasCCGT,R1,R1,A2,power,retrofit,2050,0.8166,,,,
gasCCGT,R1,R1,A2,power,retrofit,2050,0.0994,,,,
gasCCGT,R1,R1,A2,power,retrofit,2050,0.1438,,,,
gasCCGT,R1,R1,A2,power,retrofit,2050,0.5443,,,,
windturbine,R1,R1,A2,power,retrofit,2050,1.8373,,,,
windturbine,R1,R1,A2,power,retrofit,2050,0.2237,,,,
windturbine,R1,R1,A2,power,retrofit,2050,0.3235,,,,
windturbine,R1,R1,A2,power,retrofit,2050,1.2246,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,3.1932,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,8.5853,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,7.268,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,1.7247,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,3.7805,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,3.6005,,,,
gassupply1,R1,R1,A2,gas,retrofit,2050,3.1932,,,,
gassupply1,R1,R1,A2,gas,retrofit,2050,8.5853,,,,
gassupply1,R1,R1,A2,gas,retrofit,2050,7.268,,,,
gassupply1,R1,R1,A2,gas,retrofit,2050,1.7247,,,,
gassupply1,R1,R1,A2,gas,retrofit,2050,3.7805,,,,
gassupply1,R1,R1,A2,gas,retrofit,2050,3.6005,,,,